Sport,TotPkts,TotBytes,SrcPkts,DstPkts,SrcBytes,service,flag,protocol_type,count,srv_count,dst_host_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_bytes,class
59270,17,317,9,7,791,14,9,0,144,83,43,0.009235828067421622,0.02459759802395523,29267,0
56553,17,1183,9,9,1390,49,4,0,74,22,207,0.9628537915509424,0.25115140049952583,220,1
58969,17,1358,9,7,747,13,5,0,8,18,253,0.8130916273963834,0.5189360292135503,23759,0
57051,19,1063,9,9,1024,35,1,0,102,59,223,0.36832109619539655,0.47994709290582327,3631,0
56929,19,1156,9,2,775,51,1,0,231,5,147,0.2107408118834473,0.1457771229124798,17046,0
55776,19,1310,9,7,746,35,5,2,3,8,4,0.46851043094453426,0.07012537610484676,1367,0
59143,20,1319,9,9,734,17,1,0,226,29,163,0.00740079011471504,0.2808836141047352,8746,0
59462,19,1175,9,7,724,44,4,2,60,5,228,0.975627863442227,0.047173334788062765,40190,0
59104,20,1356,9,9,752,42,5,0,2,48,153,0.34032157829708753,0.03759799450374139,24434,0
57965,18,1022,9,9,687,46,5,0,4,8,198,0.050560388398626366,0.6876578771129159,539,0
59564,19,1236,9,9,1807,13,5,0,3,55,250,0.9760967901002771,0.042951029203624216,11332,0
56823,18,1265,3,9,1979,21,8,0,133,20,61,0.5708272866558477,0.2509760041778026,13894,0
56397,7,1090,9,7,1836,40,9,1,91,337,112,0.4594206668162437,0.02721937354193506,608,0
56490,18,1157,9,7,1234,44,1,0,152,25,139,0.2682920776369705,0.3478436829008515,9231,0
56212,19,478,9,9,929,45,8,1,145,27,222,0.46332868901077495,0.03247452419489584,703,0
59588,18,1228,9,9,779,37,9,0,101,416,137,0.12547000936525676,0.022564867299230268,434,0
58623,20,1093,9,7,676,2,5,0,221,5,224,0.42154665780607503,0.04927867573501785,21862,0
59648,19,710,9,9,706,45,5,0,61,299,176,0.7775680355717427,0.036992823002237676,252,1
58502,18,1072,5,8,685,12,8,0,176,103,225,0.1356200816557353,0.0400257582322681,12983,1
57740,17,925,1,7,713,63,9,0,8,7,253,0.34052903496307174,0.038223355348586154,13752,1
59489,19,1380,9,7,1709,14,9,1,104,32,242,0.013156061631310254,0.06000838344392374,10516,0
58953,17,1087,9,7,1378,22,1,1,208,17,147,0.009354912605855258,0.6833905888368101,39353,1
59701,20,1324,9,7,783,14,9,0,36,254,247,0.09899928581378074,0.11204404777443966,7911,0
58384,20,1313,9,7,721,26,5,0,62,9,237,0.30619477231474357,0.7119559602293984,278,0
56800,19,450,9,7,1019,43,9,0,3,6,85,0.10733054934038497,0.1468475065695043,9950,1
59613,19,1261,9,9,702,46,4,1,10,26,7,0.10493278899619286,0.07549006203333346,662,0
56761,20,1305,9,9,653,21,1,0,203,254,140,0.5307798879631331,0.4812955472693127,1286,0
58614,20,1181,4,7,1283,27,1,1,14,369,213,0.8889235069238659,0.04987458220401405,41021,0
58790,20,749,9,7,728,40,4,0,78,8,88,0.028953112843575504,0.07486241268928474,21071,1
58503,20,1354,2,7,656,55,1,1,6,3,224,0.700125854416199,0.03235931887466181,2423,0
56877,15,1226,9,7,764,61,8,0,335,8,203,0.016204639679557417,0.08127836005742872,27874,0
56614,19,946,3,7,718,36,9,1,154,29,173,0.9590464461653715,0.052220747555093476,5163,1
59137,20,1101,9,1,1265,30,4,0,7,11,234,0.1180841587047668,0.2949766042533026,6316,0
58728,20,1366,9,10,788,49,9,0,170,300,243,0.9590626974948513,0.07039775008337613,6371,0
58413,17,1060,9,7,1007,49,4,0,93,141,215,0.6403978829780999,0.33574393015447107,2660,0
58579,10,1117,9,7,1194,44,4,0,114,3,245,0.020165334706373703,0.040695423032332326,7982,0
58793,19,1266,9,7,759,45,5,0,73,128,133,0.9634696342025013,0.054234087725865014,7454,0
59852,7,1387,9,9,703,52,4,1,108,49,126,0.46716699067577405,0.11593808496248667,1265,1
56861,17,1141,2,9,2420,37,8,1,9,10,198,0.32260018798668066,0.10743125768003722,1499,0
